  INFO root [2018-08-20 14:27:28,628] - 
 DEBUG root [2018-08-20 14:27:29,629] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityDef.cs
 DEBUG root [2018-08-20 14:27:29,633] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/CustomDataTypes.cs
 DEBUG root [2018-08-20 14:27:29,637] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Avatar
 DEBUG root [2018-08-20 14:27:29,639] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/AvatarBase.cs
 DEBUG root [2018-08-20 14:27:29,642] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallAvatarBase.cs
 DEBUG root [2018-08-20 14:27:29,643] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Halls
 DEBUG root [2018-08-20 14:27:29,645] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/HallsBase.cs
 DEBUG root [2018-08-20 14:27:29,648] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallHallsBase.cs
 DEBUG root [2018-08-20 14:27:29,649] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins//Room
 DEBUG root [2018-08-20 14:27:29,651] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/RoomBase.cs
 DEBUG root [2018-08-20 14:27:29,655] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_unity3d_plugins/EntityCallRoomBase.cs
 DEBUG root [2018-08-20 14:27:29,659] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-08-20 14:27:29,659] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-08-20 14:27:29,659] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-08-20 14:27:29,659] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-08-20 14:27:29,660] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-08-20 14:27:29,660] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-08-20 14:27:29,660] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-08-20 14:27:29,660] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-08-20 14:27:29,672] - Script::uninstall(): is successfully!
 DEBUG root [2018-08-20 14:27:29,672] - ThreadPool::destroy(): starting size 2.
 DEBUG root [2018-08-20 14:27:29,715] - ClientSDK::writeServerErrorDescrsModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins//
 DEBUG root [2018-08-20 14:27:29,716] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/ServerErrorDescrs.h
 DEBUG root [2018-08-20 14:27:29,719] - ClientSDK::writeEngineMessagesModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins//Messages.cpp
 DEBUG root [2018-08-20 14:27:29,724] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.cpp
 DEBUG root [2018-08-20 14:27:29,729] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/Messages.h
 DEBUG root [2018-08-20 14:27:29,734] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/KBETypes.h
 DEBUG root [2018-08-20 14:27:29,736] - ClientSDK::writeEntityDefsModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins//EntityDef.cpp
 DEBUG root [2018-08-20 14:27:29,738] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityDef.cpp
 DEBUG root [2018-08-20 14:27:29,742] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityDef.h
 DEBUG root [2018-08-20 14:27:29,746] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/CustomDataTypes.cpp
 DEBUG root [2018-08-20 14:27:29,750] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/CustomDataTypes.h
 DEBUG root [2018-08-20 14:27:29,755] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Avatar
 DEBUG root [2018-08-20 14:27:29,757] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/AvatarBase.cpp
 DEBUG root [2018-08-20 14:27:29,761] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/AvatarBase.h
 DEBUG root [2018-08-20 14:27:29,764] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallAvatarBase.cpp
 DEBUG root [2018-08-20 14:27:29,767] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallAvatarBase.h
 DEBUG root [2018-08-20 14:27:29,770] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Halls
 DEBUG root [2018-08-20 14:27:29,772] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/HallsBase.cpp
 DEBUG root [2018-08-20 14:27:29,775] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/HallsBase.h
 DEBUG root [2018-08-20 14:27:29,779] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallHallsBase.cpp
 DEBUG root [2018-08-20 14:27:29,782] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallHallsBase.h
 DEBUG root [2018-08-20 14:27:29,784] - ClientSDK::writeEntityModule(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine//Room
 DEBUG root [2018-08-20 14:27:29,785] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/RoomBase.cpp
 DEBUG root [2018-08-20 14:27:29,789] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/RoomBase.h
 DEBUG root [2018-08-20 14:27:29,792] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallRoomBase.cpp
 DEBUG root [2018-08-20 14:27:29,795] - ClientSDK::saveFile(): D:\KBE\kbengine-2.2.0\ori_assets\/kbengine_ue4_plugins/Source/KBEnginePlugins/Engine/EntityCallRoomBase.h
 DEBUG root [2018-08-20 14:27:29,798] - Script::uninstall_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-08-20 14:27:29,798] - Script::uninstall_py_dlls(): PyInit__socket
 DEBUG root [2018-08-20 14:27:29,798] - Script::uninstall_py_dlls(): PyInit__ssl
 DEBUG root [2018-08-20 14:27:29,799] - Script::uninstall_py_dlls(): PyInit__hashlib
 DEBUG root [2018-08-20 14:27:29,799] - Script::uninstall_py_dlls(): PyInit_select
 DEBUG root [2018-08-20 14:27:29,799] - Script::uninstall_py_dlls(): PyInit__ctypes
 DEBUG root [2018-08-20 14:27:29,799] - Script::uninstall_py_dlls(): PyInit__elementtree
 DEBUG root [2018-08-20 14:27:29,799] - Script::uninstall_py_dlls(): PyInit_unicodedata
  INFO root [2018-08-20 14:27:29,810] - Script::uninstall(): is successfully!
 DEBUG root [2018-08-20 14:27:29,810] - ThreadPool::destroy(): starting size 2.
  WARN root [2018-08-20 14:27:29,972] - ThreadPool::destroy(): waiting for thread(2)[0x423d70,0x423d08,], try=1
  WARN root [2018-08-20 14:27:30,110] - ThreadPool::destroy(): waiting for thread(2)[0x594d78,0x594d10,], try=1
 DEBUG root [2018-08-20 14:27:30,373] - TPThread::~TPThread(): 0x423d70
 DEBUG root [2018-08-20 14:27:30,373] - TPThread::~TPThread(): 0x423d08
 DEBUG root [2018-08-20 14:27:30,373] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-08-20 14:27:30,383] - Bundle::destroyObjPool(): size 13.
 DEBUG root [2018-08-20 14:27:30,383] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,384] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-08-20 14:27:30,384] - tool(0) has shut down. ClientSDK=1
 DEBUG root [2018-08-20 14:27:30,510] - TPThread::~TPThread(): 0x594d78
 DEBUG root [2018-08-20 14:27:30,510] - TPThread::~TPThread(): 0x594d10
 DEBUG root [2018-08-20 14:27:30,510] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-08-20 14:27:30,517] - Bundle::destroyObjPool(): size 4.
 DEBUG root [2018-08-20 14:27:30,517] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-08-20 14:27:30,518] - UDPPacketReceiver::destroyObjPool(): size 0.
